date,home_team,away_team,home_score,away_score,winner,status
2021-08-15T15:30:00+00:00,Celta Vigo,Atletico Madrid,1,2,Atletico Madrid,FT
2021-08-22T17:30:00+00:00,Atletico Madrid,Elche,1,0,Atletico Madrid,FT
2021-08-29T20:00:00+00:00,Atletico Madrid,Villarreal,2,2,Draw,FT
2021-09-12T12:00:00+00:00,Espanyol,Atletico Madrid,1,2,Atletico Madrid,FT
2021-09-18T14:15:00+00:00,Atletico Madrid,Athletic Club,0,0,Draw,FT
2021-09-21T17:30:00+00:00,Getafe,Atletico Madrid,1,2,Atletico Madrid,FT
2021-09-25T12:00:00+00:00,Alaves,Atletico Madrid,1,0,Alaves,FT
2021-10-02T19:00:00+00:00,Atletico Madrid,Barcelona,2,0,Atletico Madrid,FT
2021-12-22T18:00:00+00:00,Granada CF,Atletico Madrid,2,1,Granada CF,FT
2021-10-24T19:00:00+00:00,Atletico Madrid,Real Sociedad,2,2,Draw,FT
2021-10-28T19:30:00+00:00,Levante,Atletico Madrid,2,2,Draw,FT
2021-10-31T15:15:00+00:00,Atletico Madrid,Real Betis,3,0,Atletico Madrid,FT
2021-11-07T15:15:00+00:00,Valencia,Atletico Madrid,3,3,Draw,FT
2021-11-20T17:30:00+00:00,Atletico Madrid,Osasuna,1,0,Atletico Madrid,FT
2021-11-28T17:30:00+00:00,Cadiz,Atletico Madrid,1,4,Atletico Madrid,FT
2021-12-04T17:30:00+00:00,Atletico Madrid,Mallorca,1,2,Mallorca,FT
2021-12-12T20:00:00+00:00,Real Madrid,Atletico Madrid,2,0,Real Madrid,FT
2021-12-18T20:00:00+00:00,Sevilla,Atletico Madrid,2,1,Sevilla,FT
2022-01-02T15:15:00+00:00,Atletico Madrid,Rayo Vallecano,2,0,Atletico Madrid,FT
2022-01-09T20:00:00+00:00,Villarreal,Atletico Madrid,2,2,Draw,FT
2022-02-16T18:00:00+00:00,Atletico Madrid,Levante,0,1,Levante,FT
2022-01-22T20:00:00+00:00,Atletico Madrid,Valencia,3,2,Atletico Madrid,FT
2022-02-06T15:15:00+00:00,Barcelona,Atletico Madrid,4,2,Barcelona,FT
2022-02-12T20:00:00+00:00,Atletico Madrid,Getafe,4,3,Atletico Madrid,FT
2022-02-19T15:15:00+00:00,Osasuna,Atletico Madrid,0,3,Atletico Madrid,FT
2022-02-26T20:00:00+00:00,Atletico Madrid,Celta Vigo,2,0,Atletico Madrid,FT
2022-03-06T20:00:00+00:00,Real Betis,Atletico Madrid,1,3,Atletico Madrid,FT
2022-03-11T20:00:00+00:00,Atletico Madrid,Cadiz,2,1,Atletico Madrid,FT
2022-03-19T20:00:00+00:00,Rayo Vallecano,Atletico Madrid,0,1,Atletico Madrid,FT
2022-04-02T19:00:00+00:00,Atletico Madrid,Alaves,4,1,Atletico Madrid,FT
2022-04-09T14:15:00+00:00,Mallorca,Atletico Madrid,1,0,Mallorca,FT
2022-04-17T14:15:00+00:00,Atletico Madrid,Espanyol,2,1,Atletico Madrid,FT
2022-04-20T17:00:00+00:00,Atletico Madrid,Granada CF,0,0,Draw,FT
2022-04-30T19:00:00+00:00,Athletic Club,Atletico Madrid,2,0,Athletic Club,FT
2022-05-08T19:00:00+00:00,Atletico Madrid,Real Madrid,1,0,Atletico Madrid,FT
2022-05-11T19:30:00+00:00,Elche,Atletico Madrid,0,2,Atletico Madrid,FT
2022-05-15T17:30:00+00:00,Atletico Madrid,Sevilla,1,1,Draw,FT
2022-05-22T20:00:00+00:00,Real Sociedad,Atletico Madrid,1,2,Atletico Madrid,FT
2022-01-13T19:00:00+00:00,Atletico Madrid,Athletic Club,1,2,Athletic Club,FT
2021-07-28T17:45:00+00:00,Red Bull Salzburg,Atletico Madrid,1,0,Red Bull Salzburg,FT
2021-07-23T00:00:00+00:00,Numancia,Atletico Madrid,1,1,Atletico Madrid,PEN
2021-07-23T17:00:00+00:00,Atletico Madrid,Numancia,2,1,Atletico Madrid,PEN
2021-07-31T00:00:00+00:00,VfL Wolfsburg,Atletico Madrid,1,2,Atletico Madrid,FT
2021-08-04T00:00:00+00:00,Cadiz,Atletico Madrid,1,1,Cadiz,PEN
2021-08-08T15:00:00+00:00,Feyenoord,Atletico Madrid,2,1,Feyenoord,FT
2021-09-15T19:00:00+00:00,Atletico Madrid,FC Porto,0,0,Draw,FT
2021-09-28T19:00:00+00:00,AC Milan,Atletico Madrid,1,2,Atletico Madrid,FT
2021-10-19T19:00:00+00:00,Atletico Madrid,Liverpool,2,3,Liverpool,FT
2021-11-03T20:00:00+00:00,Liverpool,Atletico Madrid,2,0,Liverpool,FT
2021-11-24T20:00:00+00:00,Atletico Madrid,AC Milan,0,1,AC Milan,FT
2021-12-07T20:00:00+00:00,FC Porto,Atletico Madrid,1,3,Atletico Madrid,FT
2022-02-23T20:00:00+00:00,Atletico Madrid,Manchester United,1,1,Draw,FT
2022-03-15T20:00:00+00:00,Manchester United,Atletico Madrid,0,1,Atletico Madrid,FT
2022-01-06T20:30:00+00:00,Rayo Majadahonda,Atletico Madrid,0,5,Atletico Madrid,FT
2022-01-19T20:00:00+00:00,Real Sociedad,Atletico Madrid,2,0,Real Sociedad,FT
2022-04-05T19:00:00+00:00,Manchester City,Atletico Madrid,1,0,Manchester City,FT
2022-04-13T19:00:00+00:00,Atletico Madrid,Manchester City,0,0,Draw,FT
